id,node_1,node_2,edge_weight,count_relation
1,incomes_high,economic_class_first,4,400
1,incomes_high,economic_class_second,4,400
1,incomes_high,economic_class_third,3,300
1,incomes_high,gender_male,10,1000
1,incomes_high,gender_female,9,900
1,incomes_mid,economic_class_first,2,200
1,incomes_mid,economic_class_second,8,800
1,incomes_mid,economic_class_third,1,100
1,incomes_mid,gender_male,7,700
1,incomes_mid,gender_female,10,1000
1,incomes_low,economic_class_first,6,600
1,incomes_low,economic_class_second,2,200
1,incomes_low,economic_class_third,3,300
1,incomes_low,gender_male,9,900
1,incomes_low,gender_female,10,1000
1,economic_class_first,gender_male,10,1000
1,economic_class_first,gender_female,5,500
1,economic_class_second,gender_male,10,1000
1,economic_class_second,gender_female,1,100
1,economic_class_third,gender_male,2,200
1,economic_class_third,gender_female,5,500
2,incomes_high,economic_class_first,8,800
2,incomes_high,economic_class_second,4,400
2,incomes_high,economic_class_third,4,400
2,incomes_high,gender_male,8,800
2,incomes_high,gender_female,1,100
2,incomes_mid,economic_class_first,2,200
2,incomes_mid,economic_class_second,4,400
2,incomes_mid,economic_class_third,1,100
2,incomes_mid,gender_male,4,400
2,incomes_mid,gender_female,9,900
2,incomes_low,economic_class_first,8,800
2,incomes_low,economic_class_second,6,600
2,incomes_low,economic_class_third,9,900
2,incomes_low,gender_male,5,500
2,incomes_low,gender_female,9,900
2,economic_class_first,gender_male,1,100
2,economic_class_first,gender_female,5,500
2,economic_class_second,gender_male,9,900
2,economic_class_second,gender_female,6,600
2,economic_class_third,gender_male,2,200
2,economic_class_third,gender_female,6,600
3,incomes_high,economic_class_first,1,100
3,incomes_high,economic_class_second,7,700
3,incomes_high,economic_class_third,6,600
3,incomes_high,gender_male,8,800
3,incomes_high,gender_female,4,400
3,incomes_mid,economic_class_first,5,500
3,incomes_mid,economic_class_second,2,200
3,incomes_mid,economic_class_third,4,400
3,incomes_mid,gender_male,3,300
3,incomes_mid,gender_female,6,600
3,incomes_low,economic_class_first,3,300
3,incomes_low,economic_class_second,2,200
3,incomes_low,economic_class_third,3,300
3,incomes_low,gender_male,5,500
3,incomes_low,gender_female,6,600
3,economic_class_first,gender_male,3,300
3,economic_class_first,gender_female,4,400
3,economic_class_second,gender_male,10,1000
3,economic_class_second,gender_female,5,500
3,economic_class_third,gender_male,6,600
3,economic_class_third,gender_female,5,500
4,incomes_high,economic_class_first,10,1000
4,incomes_high,economic_class_second,3,300
4,incomes_high,economic_class_third,2,200
4,incomes_high,gender_male,5,500
4,incomes_high,gender_female,4,400
4,incomes_mid,economic_class_first,6,600
4,incomes_mid,economic_class_second,3,300
4,incomes_mid,economic_class_third,8,800
4,incomes_mid,gender_male,1,100
4,incomes_mid,gender_female,7,700
4,incomes_low,economic_class_first,2,200
4,incomes_low,economic_class_second,1,100
4,incomes_low,economic_class_third,3,300
4,incomes_low,gender_male,7,700
4,incomes_low,gender_female,2,200
4,economic_class_first,gender_male,2,200
4,economic_class_first,gender_female,1,100
4,economic_class_second,gender_male,2,200
4,economic_class_second,gender_female,5,500
4,economic_class_third,gender_male,6,600
4,economic_class_third,gender_female,10,1000
5,incomes_high,economic_class_first,7,700
5,incomes_high,economic_class_second,2,200
5,incomes_high,economic_class_third,7,700
5,incomes_high,gender_male,1,100
5,incomes_high,gender_female,8,800
5,incomes_mid,economic_class_first,8,800
5,incomes_mid,economic_class_second,7,700
5,incomes_mid,economic_class_third,8,800
5,incomes_mid,gender_male,3,300
5,incomes_mid,gender_female,4,400
5,incomes_low,economic_class_first,10,1000
5,incomes_low,economic_class_second,4,400
5,incomes_low,economic_class_third,4,400
5,incomes_low,gender_male,4,400
5,incomes_low,gender_female,2,200
5,economic_class_first,gender_male,10,1000
5,economic_class_first,gender_female,1,100
5,economic_class_second,gender_male,3,300
5,economic_class_second,gender_female,6,600
5,economic_class_third,gender_male,6,600
5,economic_class_third,gender_female,7,700
6,incomes_high,economic_class_first,4,400
6,incomes_high,economic_class_second,8,800
6,incomes_high,economic_class_third,8,800
6,incomes_high,gender_male,1,100
6,incomes_high,gender_female,1,100
6,incomes_mid,economic_class_first,9,900
6,incomes_mid,economic_class_second,1,100
6,incomes_mid,economic_class_third,8,800
6,incomes_mid,gender_male,5,500
6,incomes_mid,gender_female,3,300
6,incomes_low,economic_class_first,8,800
6,incomes_low,economic_class_second,10,1000
6,incomes_low,economic_class_third,1,100
6,incomes_low,gender_male,1,100
6,incomes_low,gender_female,6,600
6,economic_class_first,gender_male,7,700
6,economic_class_first,gender_female,8,800
6,economic_class_second,gender_male,1,100
6,economic_class_second,gender_female,4,400
6,economic_class_third,gender_male,6,600
6,economic_class_third,gender_female,3,300
7,incomes_high,economic_class_first,1,100
7,incomes_high,economic_class_second,6,600
7,incomes_high,economic_class_third,7,700
7,incomes_high,gender_male,10,1000
7,incomes_high,gender_female,4,400
7,incomes_mid,economic_class_first,10,1000
7,incomes_mid,economic_class_second,9,900
7,incomes_mid,economic_class_third,3,300
7,incomes_mid,gender_male,6,600
7,incomes_mid,gender_female,5,500
7,incomes_low,economic_class_first,4,400
7,incomes_low,economic_class_second,7,700
7,incomes_low,economic_class_third,9,900
7,incomes_low,gender_male,1,100
7,incomes_low,gender_female,5,500
7,economic_class_first,gender_male,7,700
7,economic_class_first,gender_female,2,200
7,economic_class_second,gender_male,2,200
7,economic_class_second,gender_female,4,400
7,economic_class_third,gender_male,7,700
7,economic_class_third,gender_female,8,800
8,incomes_high,economic_class_first,8,800
8,incomes_high,economic_class_second,10,1000
8,incomes_high,economic_class_third,9,900
8,incomes_high,gender_male,6,600
8,incomes_high,gender_female,1,100
8,incomes_mid,economic_class_first,8,800
8,incomes_mid,economic_class_second,4,400
8,incomes_mid,economic_class_third,10,1000
8,incomes_mid,gender_male,4,400
8,incomes_mid,gender_female,1,100
8,incomes_low,economic_class_first,8,800
8,incomes_low,economic_class_second,1,100
8,incomes_low,economic_class_third,8,800
8,incomes_low,gender_male,6,600
8,incomes_low,gender_female,2,200
8,economic_class_first,gender_male,1,100
8,economic_class_first,gender_female,9,900
8,economic_class_second,gender_male,3,300
8,economic_class_second,gender_female,4,400
8,economic_class_third,gender_male,9,900
8,economic_class_third,gender_female,2,200
9,incomes_high,economic_class_first,6,600
9,incomes_high,economic_class_second,6,600
9,incomes_high,economic_class_third,5,500
9,incomes_high,gender_male,4,400
9,incomes_high,gender_female,3,300
9,incomes_mid,economic_class_first,7,700
9,incomes_mid,economic_class_second,2,200
9,incomes_mid,economic_class_third,4,400
9,incomes_mid,gender_male,1,100
9,incomes_mid,gender_female,4,400
9,incomes_low,economic_class_first,2,200
9,incomes_low,economic_class_second,6,600
9,incomes_low,economic_class_third,3,300
9,incomes_low,gender_male,2,200
9,incomes_low,gender_female,5,500
9,economic_class_first,gender_male,3,300
9,economic_class_first,gender_female,10,1000
9,economic_class_second,gender_male,9,900
9,economic_class_second,gender_female,3,300
9,economic_class_third,gender_male,9,900
9,economic_class_third,gender_female,10,1000
10,incomes_high,economic_class_first,10,1000
10,incomes_high,economic_class_second,9,900
10,incomes_high,economic_class_third,3,300
10,incomes_high,gender_male,1,100
10,incomes_high,gender_female,6,600
10,incomes_mid,economic_class_first,1,100
10,incomes_mid,economic_class_second,2,200
10,incomes_mid,economic_class_third,4,400
10,incomes_mid,gender_male,1,100
10,incomes_mid,gender_female,9,900
10,incomes_low,economic_class_first,1,100
10,incomes_low,economic_class_second,6,600
10,incomes_low,economic_class_third,3,300
10,incomes_low,gender_male,6,600
10,incomes_low,gender_female,3,300
10,economic_class_first,gender_male,1,100
10,economic_class_first,gender_female,3,300
10,economic_class_second,gender_male,2,200
10,economic_class_second,gender_female,10,1000
10,economic_class_third,gender_male,3,300
10,economic_class_third,gender_female,9,900
11,incomes_high,economic_class_first,4,400
11,incomes_high,economic_class_second,4,400
11,incomes_high,economic_class_third,2,200
11,incomes_high,gender_male,9,900
11,incomes_high,gender_female,10,1000
11,incomes_mid,economic_class_first,8,800
11,incomes_mid,economic_class_second,4,400
11,incomes_mid,economic_class_third,8,800
11,incomes_mid,gender_male,9,900
11,incomes_mid,gender_female,7,700
11,incomes_low,economic_class_first,10,1000
11,incomes_low,economic_class_second,2,200
11,incomes_low,economic_class_third,10,1000
11,incomes_low,gender_male,6,600
11,incomes_low,gender_female,2,200
11,economic_class_first,gender_male,5,500
11,economic_class_first,gender_female,5,500
11,economic_class_second,gender_male,7,700
11,economic_class_second,gender_female,3,300
11,economic_class_third,gender_male,4,400
11,economic_class_third,gender_female,8,800
12,incomes_high,economic_class_first,8,800
12,incomes_high,economic_class_second,10,1000
12,incomes_high,economic_class_third,7,700
12,incomes_high,gender_male,4,400
12,incomes_high,gender_female,1,100
12,incomes_mid,economic_class_first,4,400
12,incomes_mid,economic_class_second,7,700
12,incomes_mid,economic_class_third,8,800
12,incomes_mid,gender_male,1,100
12,incomes_mid,gender_female,5,500
12,incomes_low,economic_class_first,7,700
12,incomes_low,economic_class_second,6,600
12,incomes_low,economic_class_third,9,900
12,incomes_low,gender_male,6,600
12,incomes_low,gender_female,4,400
12,economic_class_first,gender_male,9,900
12,economic_class_first,gender_female,6,600
12,economic_class_second,gender_male,8,800
12,economic_class_second,gender_female,5,500
12,economic_class_third,gender_male,10,1000
12,economic_class_third,gender_female,1,100
13,incomes_high,economic_class_first,1,100
13,incomes_high,economic_class_second,10,1000
13,incomes_high,economic_class_third,1,100
13,incomes_high,gender_male,2,200
13,incomes_high,gender_female,2,200
13,incomes_mid,economic_class_first,9,900
13,incomes_mid,economic_class_second,3,300
13,incomes_mid,economic_class_third,6,600
13,incomes_mid,gender_male,9,900
13,incomes_mid,gender_female,1,100
13,incomes_low,economic_class_first,6,600
13,incomes_low,economic_class_second,10,1000
13,incomes_low,economic_class_third,9,900
13,incomes_low,gender_male,7,700
13,incomes_low,gender_female,3,300
13,economic_class_first,gender_male,9,900
13,economic_class_first,gender_female,6,600
13,economic_class_second,gender_male,4,400
13,economic_class_second,gender_female,3,300
13,economic_class_third,gender_male,4,400
13,economic_class_third,gender_female,8,800
14,incomes_high,economic_class_first,10,1000
14,incomes_high,economic_class_second,7,700
14,incomes_high,economic_class_third,10,1000
14,incomes_high,gender_male,4,400
14,incomes_high,gender_female,8,800
14,incomes_mid,economic_class_first,9,900
14,incomes_mid,economic_class_second,3,300
14,incomes_mid,economic_class_third,3,300
14,incomes_mid,gender_male,7,700
14,incomes_mid,gender_female,5,500
14,incomes_low,economic_class_first,10,1000
14,incomes_low,economic_class_second,2,200
14,incomes_low,economic_class_third,3,300
14,incomes_low,gender_male,2,200
14,incomes_low,gender_female,5,500
14,economic_class_first,gender_male,5,500
14,economic_class_first,gender_female,3,300
14,economic_class_second,gender_male,4,400
14,economic_class_second,gender_female,8,800
14,economic_class_third,gender_male,7,700
14,economic_class_third,gender_female,6,600
15,incomes_high,economic_class_first,10,1000
15,incomes_high,economic_class_second,5,500
15,incomes_high,economic_class_third,2,200
15,incomes_high,gender_male,3,300
15,incomes_high,gender_female,3,300
15,incomes_mid,economic_class_first,4,400
15,incomes_mid,economic_class_second,5,500
15,incomes_mid,economic_class_third,3,300
15,incomes_mid,gender_male,4,400
15,incomes_mid,gender_female,9,900
15,incomes_low,economic_class_first,9,900
15,incomes_low,economic_class_second,10,1000
15,incomes_low,economic_class_third,4,400
15,incomes_low,gender_male,8,800
15,incomes_low,gender_female,3,300
15,economic_class_first,gender_male,8,800
15,economic_class_first,gender_female,4,400
15,economic_class_second,gender_male,5,500
15,economic_class_second,gender_female,8,800
15,economic_class_third,gender_male,10,1000
15,economic_class_third,gender_female,2,200
16,incomes_high,economic_class_first,5,500
16,incomes_high,economic_class_second,7,700
16,incomes_high,economic_class_third,6,600
16,incomes_high,gender_male,8,800
16,incomes_high,gender_female,9,900
16,incomes_mid,economic_class_first,2,200
16,incomes_mid,economic_class_second,1,100
16,incomes_mid,economic_class_third,7,700
16,incomes_mid,gender_male,4,400
16,incomes_mid,gender_female,3,300
16,incomes_low,economic_class_first,3,300
16,incomes_low,economic_class_second,3,300
16,incomes_low,economic_class_third,9,900
16,incomes_low,gender_male,8,800
16,incomes_low,gender_female,3,300
16,economic_class_first,gender_male,7,700
16,economic_class_first,gender_female,6,600
16,economic_class_second,gender_male,2,200
16,economic_class_second,gender_female,9,900
16,economic_class_third,gender_male,7,700
16,economic_class_third,gender_female,2,200
17,incomes_high,economic_class_first,7,700
17,incomes_high,economic_class_second,6,600
17,incomes_high,economic_class_third,3,300
17,incomes_high,gender_male,5,500
17,incomes_high,gender_female,1,100
17,incomes_mid,economic_class_first,3,300
17,incomes_mid,economic_class_second,10,1000
17,incomes_mid,economic_class_third,4,400
17,incomes_mid,gender_male,5,500
17,incomes_mid,gender_female,2,200
17,incomes_low,economic_class_first,1,100
17,incomes_low,economic_class_second,7,700
17,incomes_low,economic_class_third,5,500
17,incomes_low,gender_male,8,800
17,incomes_low,gender_female,4,400
17,economic_class_first,gender_male,8,800
17,economic_class_first,gender_female,8,800
17,economic_class_second,gender_male,4,400
17,economic_class_second,gender_female,6,600
17,economic_class_third,gender_male,4,400
17,economic_class_third,gender_female,9,900
18,incomes_high,economic_class_first,7,700
18,incomes_high,economic_class_second,7,700
18,incomes_high,economic_class_third,4,400
18,incomes_high,gender_male,8,800
18,incomes_high,gender_female,10,1000
18,incomes_mid,economic_class_first,10,1000
18,incomes_mid,economic_class_second,10,1000
18,incomes_mid,economic_class_third,8,800
18,incomes_mid,gender_male,1,100
18,incomes_mid,gender_female,1,100
18,incomes_low,economic_class_first,6,600
18,incomes_low,economic_class_second,3,300
18,incomes_low,economic_class_third,5,500
18,incomes_low,gender_male,2,200
18,incomes_low,gender_female,9,900
18,economic_class_first,gender_male,2,200
18,economic_class_first,gender_female,10,1000
18,economic_class_second,gender_male,8,800
18,economic_class_second,gender_female,10,1000
18,economic_class_third,gender_male,10,1000
18,economic_class_third,gender_female,4,400
19,incomes_high,economic_class_first,4,400
19,incomes_high,economic_class_second,8,800
19,incomes_high,economic_class_third,6,600
19,incomes_high,gender_male,2,200
19,incomes_high,gender_female,9,900
19,incomes_mid,economic_class_first,7,700
19,incomes_mid,economic_class_second,10,1000
19,incomes_mid,economic_class_third,5,500
19,incomes_mid,gender_male,2,200
19,incomes_mid,gender_female,1,100
19,incomes_low,economic_class_first,5,500
19,incomes_low,economic_class_second,10,1000
19,incomes_low,economic_class_third,4,400
19,incomes_low,gender_male,1,100
19,incomes_low,gender_female,2,200
19,economic_class_first,gender_male,2,200
19,economic_class_first,gender_female,6,600
19,economic_class_second,gender_male,1,100
19,economic_class_second,gender_female,5,500
19,economic_class_third,gender_male,1,100
19,economic_class_third,gender_female,10,1000
20,incomes_high,economic_class_first,7,700
20,incomes_high,economic_class_second,7,700
20,incomes_high,economic_class_third,4,400
20,incomes_high,gender_male,3,300
20,incomes_high,gender_female,1,100
20,incomes_mid,economic_class_first,6,600
20,incomes_mid,economic_class_second,5,500
20,incomes_mid,economic_class_third,3,300
20,incomes_mid,gender_male,6,600
20,incomes_mid,gender_female,2,200
20,incomes_low,economic_class_first,4,400
20,incomes_low,economic_class_second,4,400
20,incomes_low,economic_class_third,2,200
20,incomes_low,gender_male,5,500
20,incomes_low,gender_female,5,500
20,economic_class_first,gender_male,3,300
20,economic_class_first,gender_female,4,400
20,economic_class_second,gender_male,8,800
20,economic_class_second,gender_female,3,300
20,economic_class_third,gender_male,9,900
20,economic_class_third,gender_female,8,800
