id,reason
5,"No es posible ofrecer una explicación para este caso."
24,"Por viajar en 1ª clase, ser mujer y pagar mucho por el billete, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y pagaron mucho por el billete."
50,"Por viajar en 1ª clase, ser mujer y embarcar en un pueblo de clase alta, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y muchos embarcaron en cherbourg."
62,"La clasificación de este caso como NO_SURVIVOR se debe a embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, ya que muchos embarcaron en southampton, han muerto muchos hombres y eran muy mayores."
78,"Este caso ha sido clasificado como SURVIVOR por viajar en 1ª clase, ser mujer y pagar mucho por el billete, ya que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres  pagaron mucho por el billete."
81,"La clasificación de este caso como NO_SURVIVOR se debe a embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, ya que muchos embarcaron en southampton, han muerto muchos hombres y eran excepcionalmente mayores."
82,"Por viajar en 1ª clase, ser mujer y ser una familia de pocos miembros, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y eran de una familia de pocos miembros."
87,"No es posible ofrecer una explicación para este caso."
102,"Este caso ha sido clasificado como SURVIVOR por viajar en 1ª clase, ser mujer y pagar mucho por el billete, ya que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres  pagaron mucho por el billete."
115,"Como han muerto muchos hombres, eran muy mayores y eran de familia numerosa, y este caso se caracteriza por ser hombre, ser una persona muy mayor y ser familia numerosa, ha ido clasificado como NO_SURVIVOR."
116,"Por viajar en 1ª clase, ser mujer y pagar mucho por el billete, este caso ha sido clasificado como SURVIVOR, puesto que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y pagaron mucho por el billete."
120,"Por pagar mucho por el billete, ser una familia de pocos miembros y ser una persona muy mayor, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que pagaron mucho por el billete, eran de una familia de pocos miembros y eran muy mayores."
132,"Este caso ha sido clasificado como NO_SURVIVOR por viajar solo, ser hombre y ser joven, ya que viajaban solos, han muerto muchos hombres y eran jovenes."
179,"Por embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que muchos embarcaron en southampton, han muerto muchos hombres y eran muy mayores."
186,"No es posible ofrecer una explicación para este caso."
191,"La clasificación de este caso como NO_SURVIVOR se debe a viajar en 1ª clase, embarcar en un pueblo de clase baja y ser hombre, ya que pocos viajar en 1ª clase, muchos embarcaron en southampton y han muerto muchos hombres."
200,"Por ser hombre, ser una persona muy mayor y pagar mucho por el billete, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, eran muy mayores y pagaron mucho por el billete."
203,"La clasificación de este caso como NO_SURVIVOR se debe a ser hombre, ser adulto y ser una familia de pocos miembros, ya que han muerto muchos hombres, eran adultos y eran e una familia de pocos miembros."
228,"La clasificación de este caso como NO_SURVIVOR se debe a viajar solo, ser hombre y ser un adolescente, ya que viajaban solos, han muerto muchos hombres y eran adolescentes."
290,"Este caso ha sido clasificado como NO_SURVIVOR por embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, ya que muchos embarcaron en southampton, han muerto muchos hombres y eran muy mayores."
291,"Como muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y pagaron mucho por el billete, y este caso se caracteriza por viajar en 1ª clase, ser mujer y pagar mucho or el billete, ha sido clasificado como SURVIVOR."
302,"Como muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y muchos embarcaron en cherbourg, y este caso se caracteriza por viajar en 1ª clase, ser mujer y embarcar en n pueblo de clase alta, ha sido clasificado como SURVIVOR."
311,"Por viajar en 1ª clase, ser mujer y ser una familia de pocos miembros, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y eran de una familia de pocos miembros."
339,"Como eran niños, eran de familia numerosa y algunos viajaban en 2ª clase, y este caso se caracteriza por ser un niño, ser familia numerosa y viajar en 2ª clase, ha sido clasificado como SURVIVOR."
343,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona mayor y pagar un billete de coste intermedio, ya que han muerto muchos hombres, eran mayores  pagaron un billete de coste intermedio."
344,"Por ser mujer, viajar en 2ª clase y ser joven, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que sobrevivieron muchas mujeres, algunos viajaban en 2ª lase y eran jovenes."
352,"Como sobrevivieron muchas mujeres, eran de una familia de pocos miembros y algunos viajaban en 2ª clase, y este caso se caracteriza por ser mujer, ser una familia de pocos miembros y viajar en 2ª clase, ha sido clasificado como SURVIVOR."
379,"Como sobrevivieron muchas mujeres, eran de una familia de pocos miembros y algunos viajaban en 2ª clase, y este caso se caracteriza por ser mujer, ser una familia de pocos miembros y viajar en 2ª clase, ha sido clasificado como SURVIVOR."
392,"Como sobrevivieron muchas mujeres, muchos embarcaron en cherbourg y eran jovenes, y este caso se caracteriza por ser mujer, embarcar en un pueblo de clase alta y ser joven, a sido clasificado como SURVIVOR."
400,"Este caso ha sido clasificado como SURVIVOR por ser mujer, ser una familia de pocos miembros y viajar en 2ª clase, ya que sobrevivieron muchas mujeres, eran de una familia e pocos miembros y algunos viajaban en 2ª clase."
411,"No es posible ofrecer una explicación para este caso."
415,"Por ser mujer, viajar en 2ª clase y pagar un billete de coste intermedio, este caso ha sido clasificado como SURVIVOR, puesto que sobrevivieron muchas mujeres, algunos viajaban en 2ª clase y pagaron un billete de coste intermedio."
430,"Por ser mujer, ser un niño y viajar en 2ª clase, este caso ha sido clasificado como SURVIVOR, puesto que sobrevivieron muchas mujeres, eran niños y algunos viajaban en 2ª lase."
466,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona mayor y viajar en 2ª clase, ya que han muerto muchos hombres, eran mayores y algunos viajaban en  2ª clase."
470,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona mayor y embarcar en un pueblo de clase media, ya que han muerto muchos hombres, eran mayores  algunos embarcaron en queenstown."
473,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona mayor y pagar poco por el billete, ya que han muerto muchos hombres, eran mayores y pagaron oco por el billete."
476,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona mayor y viajar en 2ª clase, ya que han muerto muchos hombres, eran mayores y algunos viajaban en  2ª clase."
504,"Como han muerto muchos hombres, eran muy mayores y pagaron un billete de coste intermedio, y este caso se caracteriza por ser hombre, ser una persona muy mayor y pagar un billete de coste intermedio, ha sido clasificado como NO_SURVIVOR."
521,"Como sobrevivieron muchas mujeres, eran adultos y algunos viajaban en 2ª clase, y este caso se caracteriza por ser mujer, ser adulto y viajar en 2ª clase, ha sido clasificado como SURVIVOR."
527,"Por ser hombre, viajar en 2ª clase y pagar un billete de coste intermedio, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, algunos viajar en 2ª clase y pagaron un billete de coste intermedio."
529,"No es posible ofrecer una explicación para este caso."
533,"Por ser mujer, viajar en 2ª clase y ser joven, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que sobrevivieron muchas mujeres, algunos viajaban en 2ª lase y eran jovenes."
547,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser joven y pagar un billete de coste intermedio, ya que han muerto muchos hombres, eran jovenes y pagaron un billete de coste intermedio."
570,"No es posible ofrecer una explicación para este caso."
615,"Este caso ha sido clasificado como NO_SURVIVOR por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, ya que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
632,"No es posible ofrecer una explicación para este caso."
636,"No es posible ofrecer una explicación para este caso."
647,"Por ser una persona muy mayor, ser mujer y embarcar en un pueblo de clase alta, este caso ha sido clasificado como SURVIVOR, puesto que eran muy mayores, sobrevivieron muchas mujeres y muchos embarcaron en cherbourg."
673,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser joven y pagar poco por el billete, ya que han muerto muchos hombres, eran jovenes y pagaron poco por el billete."
675,"Por ser hombre, ser joven y pagar poco por el billete, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, eran jovenes y pagaron poco por el billete."
685,"La clasificación de este caso como NO_SURVIVOR se debe a ser hombre, ser joven y viajar en 3ª clase, ya que han muerto muchos hombres, eran jovenes y muchos viajar en 3ª lase."
695,"No es posible ofrecer una explicación para este caso."
700,"Por ser hombre, viajar en 3ª clase y pagar un billete de coste intermedio, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron un billete de coste intermedio."
706,"La clasificación de este caso como NO_SURVIVOR se debe a ser joven, pagar un billete de coste intermedio y viajar en 3ª clase, ya que eran jovenes, pagaron un billete de oste intermedio y muchos viajaron en 3ª clase."
730,"Este caso ha sido clasificado como NO_SURVIVOR por embarcar en un pueblo de clase baja, ser hombre y pagar poco por el billete, ya que muchos embarcaron en southampton, han muerto muchos hombres y pagaron poco por el billete."
778,"Por ser mujer, ser una persona mayor y pagar un billete de coste intermedio, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que sobrevivieron muchas mujeres, eran mayores y pagaron un billete de coste intermedio."
784,"Este caso ha sido clasificado como NO_SURVIVOR por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, ya que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
795,"Por ser hombre, ser joven y pagar poco por el billete, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, eran jovenes y pagaron poco por l billete."
800,"Por ser mujer, ser una persona mayor y embarcar en un pueblo de clase media, este caso ha sido clasificado como SURVIVOR, puesto que sobrevivieron muchas mujeres, eran mayores y algunos embarcaron en queenstown."
803,"Por ser hombre, viajar en 3ª clase y ser adulto, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, muchos viajaron en 3ª clase  eran adultos."
808,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, pagar poco por el billete y ser adulto, ya que han muerto muchos hombres, pagaron poco por el billete y eran adultos."
824,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, ser una persona muy mayor y pagar poco por el billete, ya que han muerto muchos hombres, eran muy mayores y pagaron poco por el billete."
833,"Por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, puesto que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
834,"Como han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron un billete de coste intermedio, y este caso se caracteriza por ser hombre, viajar en 3ª clase y pagar un billete de coste intermedio, ha sido clasificado como NO_SURVIVOR."
869,"La clasificación de este caso como NO_SURVIVOR se debe a ser hombre, pagar un billete de coste intermedio y viajar en 3ª clase, ya que han muerto muchos hombres, pagaron un billete de coste intermedio y muchos viajaron en 3ª clase."
875,"Como han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron poco por el billete, y este caso se caracteriza por ser hombre, viajar en 3ª clase y pagar poco por el billete, ha sido clasificado como NO_SURVIVOR."
879,"Por ser hombre, pagar poco por el billete y ser adulto, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, pagaron poco por el billete y ran adultos."
881,"No es posible ofrecer una explicación para este caso."
887,"No es posible ofrecer una explicación para este caso."
894,"Por ser una familia de pocos miembros, ser un niño y pagar un billete de coste intermedio, este caso ha sido clasificado como SURVIVOR, puesto que eran de una familia de pocos miembros, eran niños y pagaron un billete de coste intermedio."
896,"Por ser hombre, ser una persona muy mayor y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, eran muy mayores y muchos viajaron en 3ª clase."
905,"No es posible ofrecer una explicación para este caso."
923,"La clasificación de este caso como SURVIVOR se debe a ser mujer, ser una persona mayor y embarcar en un pueblo de clase media, ya que sobrevivieron muchas mujeres, eran mayores y algunos embarcaron en queenstown."
955,"La clasificación de este caso como NO_SURVIVOR se debe a pagar mucho por el billete, viajar en 3ª clase y ser familia numerosa, ya que pagaron mucho por el billete, muchos viajaron en 3ª clase y eran de familia numerosa."
958,"Por pagar mucho por el billete, viajar en 3ª clase y ser familia numerosa, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que pagaron mucho por el billete, muchos viajaron en 3ª clase y eran de familia numerosa."
963,"Como han muerto muchos hombres, eran mayores y pagaron poco por el billete, y este caso se caracteriza por ser hombre, ser una persona mayor y pagar poco por el billete, ha ido clasificado como NO_SURVIVOR."
973,"Este caso ha sido clasificado como NO_SURVIVOR por ser hombre, viajar en 3ª clase y pagar poco por el billete, ya que han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron poco por el billete."
979,"Como han muerto muchos hombres, eran muy mayores y pagaron poco por el billete, y este caso se caracteriza por ser hombre, ser una persona muy mayor y pagar poco por el billete, ha sido clasificado como NO_SURVIVOR."
984,"Como sobrevivieron muchas mujeres, eran mayores y algunos embarcaron en queenstown, y este caso se caracteriza por ser mujer, ser una persona mayor y embarcar en un pueblo e clase media, ha sido clasificado como SURVIVOR."
1018,"Por ser hombre, pagar poco por el billete y ser adulto, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, pagaron poco por el billete y ran adultos."
1020,"Por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, puesto que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
1021,"Por embarcar en un pueblo de clase baja, ser hombre y pagar poco por el billete, este caso ha sido clasificado como NO_SURVIVOR, puesto que muchos embarcaron en Southampton, han muerto muchos hombres y pagaron poco por el billete."
1036,"No es posible ofrecer una explicación para este caso."
1062,"Por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, puesto que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
1084,"Como muchos embarcaron en southampton, eran muy mayores y pagaron un billete de coste intermedio, y este caso se caracteriza por embarcar en un pueblo de clase baja, ser na persona muy mayor y pagar un billete de coste intermedio, ha sido clasificado como NO_SURVIVOR."
1156,"No es posible ofrecer una explicación para este caso."
1160,"Este caso ha sido clasificado como NO_SURVIVOR por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, ya que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
1172,"La clasificación de este caso como NO_SURVIVOR se debe a ser una persona mayor, viajar en 3ª clase y ser una familia de muchos miembros, ya que eran mayores, muchos viajar n 3ª clase y eran de una familia de muchos miembros."
1178,"Como han muerto muchos hombres, muchos viajaron en 3ª clase y eran de una familia de muchos miembros, y este caso se caracteriza por ser hombre, viajar en 3ª clase y ser una familia de muchos miembros, ha sido clasificado como NO_SURVIVOR."
1180,"La clasificación de este caso como NO_SURVIVOR se debe a ser una persona mayor, viajar en 3ª clase y ser una familia de muchos miembros, ya que eran mayores, muchos viajar n 3ª clase y eran de una familia de muchos miembros."
1207,"Por ser hombre, ser familia numerosa y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, eran de familia numerosa y muchos viajaron en 3ª clase."
1216,"No es posible ofrecer una explicación para este caso."
1221,"Como han muerto muchos hombres, pagaron poco por el billete y eran adultos, y este caso se caracteriza por ser hombre, pagar poco por el billete y ser adulto, ha sido clasificado como NO_SURVIVOR."
1234,"Por embarcar en un pueblo de clase baja, ser hombre y viajar en 3ª clase, este caso ha sido clasificado como NO_SURVIVOR, puesto que muchos embarcaron en southampton, han muerto muchos hombres y muchos viajaron en 3ª clase."
1247,"No es posible ofrecer una explicación para este caso."
1260,"Por ser mujer, ser un adolescente y pagar un billete de coste intermedio, este caso ha sido clasificado como SURVIVOR, puesto que sobrevivieron muchas mujeres, eran adolescentes y pagaron un billete de coste intermedio."
1269,"No es posible ofrecer una explicación para este caso."
1283,"Por ser hombre, viajar en 3ª clase y pagar poco por el billete, este caso ha sido clasificado como NO_SURVIVOR, puesto que han muerto muchos hombres, muchos viajar en 3ª lase y pagaron poco por el billete."
1291,"La clasificación de este caso como NO_SURVIVOR se debe a ser hombre, viajar en 3ª clase y pagar un billete de coste intermedio, ya que han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron un billete de coste intermedio."
1301,"Por ser hombre, viajar en 3ª clase y pagar poco por el billete, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que han muerto muchos hombres, muchos viajaron en 3ª clase y pagaron poco por el billete."