"id","reason"
"5","No es posible ofrecer una explicación para este caso."
"24","La clasificación de este caso como survivor se debe a ser mujer y pagar mucho por el billete, ya que sobrevivieron muchas mujeres y pagaron mucho por el billete."
"50","Por viajar en 1ª clase y ser mujer, este caso ha sido clasificado como survivor, puesto que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"62","Por embarcar en un pueblo de clase baja y ser hombre, este caso ha sido clasificado como no_survivor, teniendo en cuenta que muchos embarcaron en southampton y han muerto muchos hombres."
"78","La clasificación de este caso como survivor se debe a viajar en 1ª clase y ser mujer, ya que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"81","Por ser hombre y ser una persona muy mayor, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y eran excepcionalmente mayores."
"82","Por viajar en 1ª clase y ser mujer, este caso ha sido clasificado como survivor, teniendo en cuenta que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"87","No es posible ofrecer una explicación para este caso."
"102","Este caso ha sido clasificado como survivor por ser mujer y pagar mucho por el billete, ya que sobrevivieron muchas mujeres y pagaron mucho por el billete."
"115","Por ser hombre y ser familia numerosa, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y eran de familia numerosa."
"116","Por viajar en 1ª clase y ser mujer, este caso ha sido clasificado como survivor, puesto que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"120","Por ser una familia de pocos miembros y ser una persona muy mayor, este caso ha sido clasificado como survivor, puesto que eran de una familia de pocos miembros y eran muy mayores."
"132","Este caso ha sido clasificado como no_survivor por ser hombre y ser joven, ya que han muerto muchos hombres y eran jovenes."
"179","La clasificación de este caso como no_survivor se debe a ser hombre y ser una persona muy mayor, ya que han muerto muchos hombres y eran muy mayores."
"186","No es posible ofrecer una explicación para este caso."
"191","Por viajar en 1ª clase y ser hombre, este caso ha sido clasificado como no_survivor, puesto que pocos viajar en 1ª clase y han muerto muchos hombres."
"200","La clasificación de este caso como no_survivor se debe a ser hombre y ser una persona muy mayor, ya que han muerto muchos hombres y eran muy mayores."
"203","Este caso ha sido clasificado como no_survivor por ser hombre y ser adulto, ya que han muerto muchos hombres y eran adultos."
"228","Como han muerto muchos hombres y eran adolescentes, y este caso se caracteriza por ser hombre y ser un adolescente, ha sido clasificado como no_survivor."
"290","Por ser hombre y ser una persona muy mayor, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y eran muy mayores."
"291","Este caso ha sido clasificado como survivor por viajar en 1ª clase y ser mujer, ya que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"302","Por viajar en 1ª clase y ser mujer, este caso ha sido clasificado como survivor, teniendo en cuenta que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"311","Por viajar en 1ª clase y ser mujer, este caso ha sido clasificado como survivor, puesto que muchos viajaban en 1ª clase y sobrevivieron muchas mujeres."
"339","Este caso ha sido clasificado como survivor por ser un niño y ser familia numerosa, ya que eran niños y eran de familia numerosa."
"343","Este caso ha sido clasificado como no_survivor por ser hombre y ser una persona mayor, ya que han muerto muchos hombres y eran mayores."
"344","Como sobrevivieron muchas mujeres y algunos viajaban en 2ª clase, y este caso se caracteriza por ser mujer y viajar en 2ª clase, ha sido clasificado como survivor."
"352","Como sobrevivieron muchas mujeres y algunos viajaban en 2ª clase, y este caso se caracteriza por ser mujer y viajar en 2ª clase, ha sido clasificado como survivor."
"379","Por ser mujer y viajar en 2ª clase, este caso ha sido clasificado como survivor, teniendo en cuenta que sobrevivieron muchas mujeres y algunos viajaban en 2ª clase."
"392","Este caso ha sido clasificado como survivor por ser mujer y ser joven, ya que sobrevivieron muchas mujeres y eran jovenes."
"400","Por ser mujer y viajar en 2ª clase, este caso ha sido clasificado como survivor, puesto que sobrevivieron muchas mujeres y algunos viajaban en 2ª clase."
"411","No es posible ofrecer una explicación para este caso."
"415","Este caso ha sido clasificado como survivor por ser mujer y viajar en 2ª clase, ya que sobrevivieron muchas mujeres y algunos viajaban en 2ª clase."
"430","Por ser mujer y ser un niño, este caso ha sido clasificado como survivor, teniendo en cuenta que sobrevivieron muchas mujeres y eran niños."
"466","Por ser hombre y viajar en 2ª clase, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y algunos viajar en 2ª clase."
"470","Como han muerto muchos hombres y eran mayores, y este caso se caracteriza por ser hombre y ser una persona mayor, ha sido clasificado como no_survivor."
"473","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y pagaron poco por el billete."
"476","Como han muerto muchos hombres y eran mayores, y este caso se caracteriza por ser hombre y ser una persona mayor, ha sido clasificado como no_survivor."
"504","Este caso ha sido clasificado como no_survivor por ser hombre y ser una persona muy mayor, ya que han muerto muchos hombres y eran muy mayores."
"521","Por ser mujer y viajar en 2ª clase, este caso ha sido clasificado como survivor, puesto que sobrevivieron muchas mujeres y algunos viajaban en 2ª clase."
"527","Por ser hombre y viajar en 2ª clase, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y algunos viajar en 2ª clase."
"529","No es posible ofrecer una explicación para este caso."
"533","Este caso ha sido clasificado como survivor por ser mujer y viajar en 2ª clase, ya que sobrevivieron muchas mujeres y algunos viajaban en 2ª clase."
"547","Como han muerto muchos hombres y eran jovenes, y este caso se caracteriza por ser hombre y ser joven, ha sido clasificado como no_survivor."
"570","No es posible ofrecer una explicación para este caso."
"615","La clasificación de este caso como no_survivor se debe a ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"632","No es posible ofrecer una explicación para este caso."
"636","No es posible ofrecer una explicación para este caso."
"647","Por ser mujer y embarcar en un pueblo de clase alta, este caso ha sido clasificado como survivor, teniendo en cuenta que sobrevivieron muchas mujeres y muchos embarcaron en cherbourg."
"673","Por ser hombre y ser joven, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y eran jovenes."
"675","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y pagaron poco por el billete."
"685","Por ser hombre y ser joven, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y eran jovenes."
"695","No es posible ofrecer una explicación para este caso."
"700","Este caso ha sido clasificado como no_survivor por ser hombre y pagar un billete de coste intermedio, ya que han muerto muchos hombres y pagaron un billete de coste intermedio."
"706","Como eran jovenes y pagaron un billete de coste intermedio, y este caso se caracteriza por ser joven y pagar un billete de coste intermedio, ha sido clasificado como no_survivor."
"730","Este caso ha sido clasificado como no_survivor por ser hombre y pagar poco por el billete, ya que han muerto muchos hombres y pagaron poco por el billete."
"778","La clasificación de este caso como survivor se debe a ser mujer y pagar un billete de coste intermedio, ya que sobrevivieron muchas mujeres y pagaron un billete de coste intermedio."
"784","Por ser hombre y viajar en 3ª clase, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y muchos viajar en 3ª clase."
"795","La clasificación de este caso como no_survivor se debe a ser hombre y ser joven, ya que han muerto muchos hombres y eran jovenes."
"800","Este caso ha sido clasificado como survivor por ser mujer y ser una persona mayor, ya que sobrevivieron muchas mujeres y eran mayores."
"803","Este caso ha sido clasificado como no_survivor por ser hombre y ser adulto, ya que han muerto muchos hombres y eran adultos."
"808","La clasificación de este caso como no_survivor se debe a ser hombre y pagar poco por el billete, ya que han muerto muchos hombres y pagaron poco por el billete."
"824","La clasificación de este caso como no_survivor se debe a ser una persona muy mayor y pagar poco por el billete, ya que eran muy mayores y pagaron poco por el billete."
"833","Este caso ha sido clasificado como no_survivor por ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"834","La clasificación de este caso como no_survivor se debe a ser hombre y pagar un billete de coste intermedio, ya que han muerto muchos hombres y pagaron un billete de coste intermedio."
"869","Como han muerto muchos hombres y pagaron un billete de coste intermedio, y este caso se caracteriza por ser hombre y pagar un billete de coste intermedio, ha sido clasificado como no_survivor."
"875","La clasificación de este caso como no_survivor se debe a ser hombre y pagar poco por el billete, ya que han muerto muchos hombres y pagaron poco por el billete."
"879","Como han muerto muchos hombres y pagaron poco por el billete, y este caso se caracteriza por ser hombre y pagar poco por el billete, ha sido clasificado como no_survivor."
"881","No es posible ofrecer una explicación para este caso."
"887","No es posible ofrecer una explicación para este caso."
"894","La clasificación de este caso como survivor se debe a ser un niño y pagar un billete de coste intermedio, ya que eran niños y pagaron un billete de coste intermedio."
"896","La clasificación de este caso como no_survivor se debe a ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"905","No es posible ofrecer una explicación para este caso."
"923","Por ser mujer y ser una persona mayor, este caso ha sido clasificado como survivor, puesto que sobrevivieron muchas mujeres y eran mayores."
"955","Como muchos viajar en 3ª clase y eran de familia numerosa, y este caso se caracteriza por viajar en 3ª clase y ser familia numerosa, ha sido clasificado como no_survivor."
"958","Por viajar en 3ª clase y ser familia numerosa, este caso ha sido clasificado como no_survivor, puesto que muchos viajar en 3ª clase y eran de familia numerosa."
"963","Como han muerto muchos hombres y eran mayores, y este caso se caracteriza por ser hombre y ser una persona mayor, ha sido clasificado como no_survivor."
"973","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y pagaron poco por el billete."
"979","Como han muerto muchos hombres y pagaron poco por el billete, y este caso se caracteriza por ser hombre y pagar poco por el billete, ha sido clasificado como no_survivor."
"984","Por ser mujer y ser una persona mayor, este caso ha sido clasificado como survivor, puesto que sobrevivieron muchas mujeres y eran mayores."
"1018","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, teniendo en cuenta que han muerto muchos hombres y pagaron poco por el billete."
"1020","La clasificación de este caso como no_survivor se debe a ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"1021","Este caso ha sido clasificado como no_survivor por ser hombre y pagar poco por el billete, ya que han muerto muchos hombres y pagaron poco por el billete."
"1036","No es posible ofrecer una explicación para este caso."
"1062","Este caso ha sido clasificado como no_survivor por ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"1084","Por ser una persona muy mayor y pagar un billete de coste intermedio, este caso ha sido clasificado como no_survivor, teniendo en cuenta que eran muy mayores y pagaron un billete de coste intermedio."
"1156","No es posible ofrecer una explicación para este caso."
"1160","La clasificación de este caso como no_survivor se debe a ser hombre y viajar en 3ª clase, ya que han muerto muchos hombres y muchos viajar en 3ª clase."
"1172","La clasificación de este caso como no_survivor se debe a viajar en 3ª clase y ser una familia de muchos miembros, ya que muchos viajar en 3ª clase y eran de una familia de muchos miembros."
"1178","Como muchos viajar en 3ª clase y eran de una familia de muchos miembros, y este caso se caracteriza por viajar en 3ª clase y ser una familia de muchos miembros, ha sido clasificado como no_survivor."
"1180","Este caso ha sido clasificado como no_survivor por viajar en 3ª clase y ser una familia de muchos miembros, ya que muchos viajar en 3ª clase y eran de una familia de muchos miembros."
"1207","Este caso ha sido clasificado como no_survivor por ser familia numerosa y viajar en 3ª clase, ya que eran de familia numerosa y muchos viajar en 3ª clase."
"1216","No es posible ofrecer una explicación para este caso."
"1221","La clasificación de este caso como no_survivor se debe a ser hombre y pagar poco por el billete, ya que han muerto muchos hombres y pagaron poco por el billete."
"1234","Por ser hombre y viajar en 3ª clase, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y muchos viajar en 3ª clase."
"1247","No es posible ofrecer una explicación para este caso."
"1260","Como sobrevivieron muchas mujeres y pagaron un billete de coste intermedio, y este caso se caracteriza por ser mujer y pagar un billete de coste intermedio, ha sido clasificado como survivor."
"1269","No es posible ofrecer una explicación para este caso."
"1283","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y pagaron poco por el billete."
"1291","Como han muerto muchos hombres y pagaron un billete de coste intermedio, y este caso se caracteriza por ser hombre y pagar un billete de coste intermedio, ha sido clasificado como no_survivor."
"1301","Por ser hombre y pagar poco por el billete, este caso ha sido clasificado como no_survivor, puesto que han muerto muchos hombres y pagaron poco por el billete."
